rankings_year, extracted_from_url, extracted_on, comments
2017, https://www.usnews.com/best-graduate-schools/top-law-schools/law-rankings, 2018-01-28, N/A
2017, https://www.usnews.com/best-graduate-schools/top-law-schools/law-rankings/page+2, 2018-01-28, N/A
2017, https://www.usnews.com/best-graduate-schools/top-law-schools/law-rankings/page+3, 2018-01-28, N/A
2017, https://www.usnews.com/best-graduate-schools/top-law-schools/law-rankings/page+4, 2018-01-28, N/A
2017, https://www.usnews.com/best-graduate-schools/top-law-schools/law-rankings/page+5, 2018-01-28, "Many more pages of ranked schools are available, but this page ends with rank #120, which is enough."
2016, https://web.archive.org/web/20160714205338/http://grad-schools.usnews.rankingsandreviews.com/best-graduate-schools/top-law-schools/law-rankings, 2018-02-03, N/A
2016, https://web.archive.org/web/20160720063911/http://grad-schools.usnews.rankingsandreviews.com:80/best-graduate-schools/top-law-schools/law-rankings/page+2, 2018-02-03, N/A
2016, https://web.archive.org/web/20160721050158/http://grad-schools.usnews.rankingsandreviews.com:80/best-graduate-schools/top-law-schools/law-rankings/page+3, 2018-02-03, N/A
2016, https://web.archive.org/web/20160922195004/http://grad-schools.usnews.rankingsandreviews.com:80/best-graduate-schools/top-law-schools/law-rankings/page+4, 2018-02-03, N/A
2016, https://web.archive.org/web/20160720042241/http://grad-schools.usnews.rankingsandreviews.com:80/best-graduate-schools/top-law-schools/law-rankings/page+5, 2018-02-03, N/A
2015, https://web.archive.org/web/20150507100526/http://grad-schools.usnews.rankingsandreviews.com:80/best-graduate-schools/top-law-schools/law-rankings, 2018-02-03, N/A
2015, https://web.archive.org/web/20150502130129/http://grad-schools.usnews.rankingsandreviews.com:80/best-graduate-schools/top-law-schools/law-rankings/page+2, 2018-02-03, N/A
2015, https://web.archive.org/web/20150502130129/http://grad-schools.usnews.rankingsandreviews.com:80/best-graduate-schools/top-law-schools/law-rankings/page+2, 2018-02-03, N/A
2015, https://web.archive.org/web/20150506153014/http://grad-schools.usnews.rankingsandreviews.com:80/best-graduate-schools/top-law-schools/law-rankings/page+3, 2018-02-03, N/A
2015, https://web.archive.org/web/20150504130437/http://grad-schools.usnews.rankingsandreviews.com:80/best-graduate-schools/top-law-schools/law-rankings/page+4, 2018-02-03, N/A
2015, https://web.archive.org/web/20150430142217/http://grad-schools.usnews.rankingsandreviews.com:80/best-graduate-schools/top-law-schools/law-rankings/page+5, 2018-02-03, N/A
2014, https://web.archive.org/web/20140416182950/http://grad-schools.usnews.rankingsandreviews.com:80/best-graduate-schools/top-law-schools/law-rankings, 2018-02-03, N/A
2014, https://web.archive.org/web/20140330132428/http://grad-schools.usnews.rankingsandreviews.com/best-graduate-schools/top-law-schools/law-rankings/page+2, 2018-02-03, N/A
2014, https://web.archive.org/web/20140405045455/http://grad-schools.usnews.rankingsandreviews.com/best-graduate-schools/top-law-schools/law-rankings/page+3, 2018-02-03, N/A
2014, https://web.archive.org/web/20140407052644/http://grad-schools.usnews.rankingsandreviews.com/best-graduate-schools/top-law-schools/law-rankings/page+4, 2018-02-03, N/A
2014, https://web.archive.org/web/20140430032932/http://grad-schools.usnews.rankingsandreviews.com/best-graduate-schools/top-law-schools/law-rankings/page+5, 2018-02-03, N/A
2013, https://web.archive.org/web/20130806002345/http://grad-schools.usnews.rankingsandreviews.com/best-graduate-schools/top-law-schools/law-rankings, 2018-02-03, N/A
2013, https://web.archive.org/web/20130817224201/http://grad-schools.usnews.rankingsandreviews.com/best-graduate-schools/top-law-schools/law-rankings/page+2, 2018-02-03, N/A
2013, https://web.archive.org/web/20130818004802/http://grad-schools.usnews.rankingsandreviews.com/best-graduate-schools/top-law-schools/law-rankings/page+3, 2018-02-03, N/A
2013, https://web.archive.org/web/20130905214315/http://grad-schools.usnews.rankingsandreviews.com/best-graduate-schools/top-law-schools/law-rankings/page+4, 2018-02-03, N/A
2013, https://web.archive.org/web/20130714220558/http://grad-schools.usnews.rankingsandreviews.com:80/best-graduate-schools/top-law-schools/law-rankings/page+5, 2018-02-03, "ends around rank #120"
2012, https://web.archive.org/web/20120315235015/http://grad-schools.usnews.rankingsandreviews.com/best-graduate-schools/top-law-schools/law-rankings, 2018-02-03, "extracted from the Internet Archive"
2012, https://web.archive.org/web/20120315181903/http://grad-schools.usnews.rankingsandreviews.com/best-graduate-schools/top-law-schools/law-rankings/page+2, 2018-02-03, "extracted from the Internet Archive"
2012, https://web.archive.org/web/20120405104426/http://grad-schools.usnews.rankingsandreviews.com:80/best-graduate-schools/top-law-schools/law-rankings/page+3, 2018-02-03, "extracted from the Internet Archive"
2012, https://web.archive.org/web/20120406173341/http://grad-schools.usnews.rankingsandreviews.com:80/best-graduate-schools/top-law-schools/law-rankings/page+4, 2018-02-03, "extracted from the Internet Archive"
2012, https://web.archive.org/web/20120407203627/http://grad-schools.usnews.rankingsandreviews.com:80/best-graduate-schools/top-law-schools/law-rankings/page+5, 2018-02-03, "extracted from the Internet Archive"
